사용월,호선명,지하철역,유임승차인원,무임승차인원,유임하차인원,무임하차인원
202206,1호선,종로3가,450317,299617,404106,278151
202206,1호선,종각,834173,131987,815704,121717
202206,1호선,종로5가,394420,254236,404105,244555
202206,1호선,시청,537067,80671,543569,78279
202206,1호선,신설동,264825,112362,252339,106855
202206,1호선,제기동,218782,263173,209109,281985
202206,1호선,동대문,212719,117499,198987,118515
202206,1호선,청량리(서울시립대입구),328288,246164,325365,249818
202206,1호선,서울역,1150754,194717,1123193,187155
202206,1호선,동묘앞,122460,146455,131299,147539
202206,2호선,신설동,71771,31627,68036,33092
202206,2호선,건대입구,942052,87332,1023160,91534
202206,2호선,용답,64332,16494,63420,16276
202206,2호선,왕십리(성동구청),414937,50943,347476,43164
202206,2호선,시청,545554,51342,526572,46078
202206,2호선,구로디지털단지,1410353,163090,1402401,164424
202206,2호선,신림,1465285,205673,1400575,205118
202206,2호선,한양대,269240,12481,295829,13227
202206,2호선,신촌,863076,116980,881171,114549
202206,2호선,아현,231607,61419,215140,61058
202206,2호선,동대문역사문화공원(DDP),306073,53494,352795,59289
202206,2호선,을지로입구,971745,92660,1007534,87142
202206,2호선,서울대입구(관악구청),1135276,173256,1113916,165685
202206,2호선,이대,336055,46177,357608,47981
202206,2호선,신대방,607134,119656,580534,121011
202206,2호선,문래,494418,89485,516423,88440
202206,2호선,서초,505375,80348,477695,80634
202206,2호선,신답,36676,9242,40739,9855
202206,2호선,잠실(송파구청),1862829,193944,1830324,183893
202206,2호선,당산,448819,57315,522271,62719
202206,2호선,역삼,1160459,147014,1322033,150062
202206,2호선,잠실나루,309228,81339,300158,81143
202206,2호선,상왕십리,330852,63503,315918,64289
202206,2호선,잠실새내,507827,101903,512488,101681
202206,2호선,종합운동장,342239,51889,380148,53791
202206,2호선,삼성(무역센터),1336734,112903,1358393,105588
202206,2호선,선릉,1245231,201887,1103735,177819
202206,2호선,신정네거리,221497,68371,223866,69329
202206,2호선,을지로3가,536508,72308,541688,71915
202206,2호선,낙성대(강감찬),671953,104158,639987,105505
202206,2호선,강남,2055521,154473,2039847,136085
202206,2호선,신도림,1172265,195346,1189184,185455
202206,2호선,합정,832274,66386,910324,67132
202206,2호선,충정로(경기대입구),217199,44741,233674,44894
202206,2호선,대림(구로구청),564097,118611,574663,122173
202206,2호선,뚝섬,551569,57844,592153,58509
202206,2호선,성수,872922,98360,970271,100417
