지하철역,호선,유임승차인원,무임승차인원,유임하차인원,무임하차인원
동대문,1호선,286433.1398,125915.828,319028.4409,130441.8925
동묘앞,1호선,155745.6989,141896.2151,169442.1075,143510.6774
서울역,1호선,1323281.656,200600.7957,1237890.387,192006.3871
시청,1호선,592186.6237,92006.2043,599057.5806,91231.52688
신설동,1호선,326782.1398,115205.8602,321001.5806,110560.5806
제기동,1호선,260467.4086,295171.6022,253730.3118,314198.4839
종각,1호선,1040160.581,143132.0323,997255.2151,134041.9785
종로3가,1호선,592114.4946,333120.0968,551093.9247,310238.0215
종로5가,1호선,468507.6129,255280.6559,480300.2581,244990.3118
청량리(서울시립대입구),1호선,413015.9398,292223.5301,424701.988,296887.5422
청량리(지하),1호선,552882.6,344553.5,576432.9,350877.3
강남,2호선,2560850.645,162916.9247,2603035.355,145888.4194
강변,2호선,1369639.2,143312.7,1362614.9,141596.6
강변(동서울터미널),2호선,1068298.181,128358.4458,1054600.566,125453.8434
건대입구,2호선,1123920.581,89602.09677,1230972.215,93474.23656
교대,2호선,976729.1,157563,1082387.4,170749.1
교대(법원.검찰청),2호선,840738.0843,150184.241,950916.1446,168335
구로디지털단지,2호선,1598506.785,162491.3548,1596283.011,164831.2258
구의,2호선,622340.6,105710.4,603112.8,106760.6
구의(광진구청),2호선,577467.5301,99966.42169,556652.9277,101477.747
낙성대,2호선,805243.125,112756.0938,767662.2656,114052.1563
낙성대(강감찬),2호선,612932.069,86870.27586,585955.8621,88649.72414
당산,2호선,534039.5376,62723.41935,602318.086,67861.31183
대림,2호선,844599.7,114679.9,875364.5,119226.1
대림(구로구청),2호선,694886.0602,110730.0482,713045.6386,114726.5422
도림천,2호선,27026.02151,6518.580645,29133.02151,7115.817204
동대문역사문화공원,2호선,505475.8594,59851.65625,587392.9688,64175.84375
동대문역사문화공원(DDP),2호선,258369.7586,45096.55172,292399.5517,47818.51724
뚝섬,2호선,467273.4409,59197.69892,499178.7742,59667.34409
문래,2호선,483391.2903,78605.69892,494208.129,77804.56989
방배,2호선,475070.7849,74688.87097,488989.4624,73881.39785
봉천,2호선,553674.9355,141711.5376,499614.7849,142376.2581
사당,2호선,993363.6452,187741.9677,1150048.699,179155.7849
삼성,2호선,1547005.6,120442.7,1606783.3,114406.3
삼성(무역센터),2호선,1457891.108,113929.6386,1500915.542,107003.8554
상왕십리,2호선,324075.5376,62376.64516,306382.0108,63033.90323
서울대입구,2호선,1383290.7,207744.4,1356375.8,201239.2
서울대입구(관악구청),2호선,1282548.036,187985.3494,1248777.639,180758.988
서초,2호선,557591.2581,79704.47312,550626.9247,79693.96774
선릉,2호선,1324000.624,199561.4839,1161886.075,174814.7419
성수,2호선,724902.5591,97818.64516,798289.7957,99664.90323
시청,2호선,627395.6774,56280.65591,603528.3871,51558.10753
신답,2호선,33505.68817,9710.666667,37641.97849,10500.41935
신당,2호선,326519.5806,97155.65591,341343.6559,99127.31183
신대방,2호선,685558.2796,123786.086,647029.7957,125388.1828
신도림,2호선,1444541.054,194916.6022,1444041.57,185962.0968
신림,2호선,1755715.753,225928.3226,1699691.473,230089.3011
신설동,2호선,82542.60215,33487.55914,76905.3871,34468.93548
신정네거리,2호선,223053.9892,64072.04301,228473.4624,65332.2043
신천,2호선,694002.6923,113694.6923,690021.6923,111238.7692
신촌,2호선,1148313.011,128466.9785,1177357.43,126235.1075
아현,2호선,238752.8172,61360.7957,226604.6774,60767.66667
양천구청,2호선,155785.086,43577.11828,164050.3118,44441.48387
역삼,2호선,1160780.828,146795.7742,1300322.871,149217.8065
영등포구청,2호선,521758.871,97881.69892,532076.0968,96423.01075
왕십리(성동구청),2호선,489488.9462,54740.06452,400367.6667,46192.73118
용답,2호선,61460.75269,16591.3871,62092.24731,16137.7957
용두,2호선,46349.4,22047,48618.8,23522.3
용두(동대문구청),2호선,44723.6988,22293.07229,45555.26506,23600
을지로3가,2호선,523449.1613,80608.35484,518670.6129,79158.31183
을지로4가,2호선,269198.7204,86175.6129,268886.2473,82734.41935
을지로입구,2호선,1223352.978,104782.2903,1227801.624,96985.15054
이대,2호선,462016.7742,57653.60215,491242.0215,58806.8172
잠실,2호선,2353247.9,204595.7,2187015.6,191210.2
잠실(송파구청),2호선,2127982.614,196493.012,2042344.108,186056.494
잠실나루,2호선,376775.957,81924.46237,361737.4731,82462.66667
잠실새내,2호선,579001.2875,104113.15,586354.25,103349.3625
종합운동장,2호선,325496.7419,48737.25806,368029.5806,51479.03226
충정로,2호선,294779.5,52379.1,321936.3,52674.2
충정로(경기대입구),2호선,255298.1084,47928.53012,273552.0843,48006.80723
한양대,2호선,282593.2151,14085.33333,322051.2151,15043.69892
합정,2호선,870872.5699,68581.05376,931754.3333,68463.69892
홍대입구,2호선,1976917.742,103588.7097,2119154.108,100557.6989
가락시장,3호선,204887.4516,69669.91398,198399.3333,67929.49462
경복궁,3호선,651246.9,87348.5,700294.3,84954.6
